Date,GOOGL,AAPL,AMZN,BA,C,INTC,JPM,MSFT,NVDA,WFC
2014-06-12,27.87395477294922,20.34008026123047,16.295499801635742,114.25373840332033,36.68048858642578,21.171157836914062,42.4633674621582,34.34356689453125,0.4644738435745239,38.07903289794922
2014-06-17,27.43155860900879,20.29380226135254,16.2810001373291,114.4784927368164,36.31574630737305,22.67797470092773,42.74625396728515,35.27450180053711,0.4666154086589813,38.04220581054688
2014-06-20,28.22368621826172,20.035934448242188,16.209999084472656,114.17597198486328,35.973777770996094,22.86727523803711,42.84303665161133,35.27450180053711,0.4504348635673523,38.94797897338867
2014-06-25,29.19068145751953,19.914718627929688,16.371999740600586,109.8198013305664,36.33853912353515,23.38217163085937,42.828155517578125,35.57073211669922,0.4428204894065857,38.73443984985352
2014-06-30,29.12790870666504,20.481130599975582,16.23900032043457,109.9667510986328,35.79140853881836,23.397310256958008,42.8951416015625,35.29144287109375,0.4411549866199493,38.70497894287109
2014-07-03,29.546890258789062,20.723562240600582,16.874500274658203,111.07305908203124,36.65769958496094,23.579044342041016,42.76771926879883,35.376075744628906,0.4485313892364502,39.02898406982422
2014-07-09,29.062644958496097,21.02329444885254,16.49850082397461,109.58645629882812,36.004180908203125,23.38974380493164,41.995567321777344,35.26604080200195,0.4547179937362671,38.43250274658203
2014-07-14,29.60567855834961,21.25691032409668,17.766000747680664,111.94603729248048,36.79447555541992,23.84406280517578,42.19796752929688,35.663822174072266,0.4590011537075043,37.78447723388672
2014-07-17,28.93610382080078,20.516387939453125,17.622499465942383,108.79991912841795,37.37200927734375,25.51745986938477,43.37493515014648,37.68650817871094,0.4592388868331909,37.32054138183594
2014-07-22,30.06949615478516,20.875633239746097,18.04199981689453,112.13619232177734,37.69114685058594,26.342809677124023,43.982154846191406,37.94041442871094,0.4394893050193786,37.81393432617188
2014-07-25,29.79598617553711,21.52578926086425,16.20050048828125,106.48357391357422,38.01792526245117,25.933914184570312,44.23701858520508,37.6611328125,0.4233089387416839,37.99802780151367
2014-07-30,29.66446304321289,21.63158416748047,16.125499725341797,105.6970443725586,37.99512100219727,26.00963020324707,44.16206359863281,36.88252258300781,0.4302093088626861,38.36621475219727
2014-08-04,29.008344650268555,21.06737518310547,15.682499885559082,103.65723419189452,36.74104309082031,25.78247833251953,42.46784973144531,36.70480346679688,0.4199777245521545,37.548828125
2014-08-07,28.487232208251957,20.926315307617188,15.572500228881836,104.2067413330078,36.52822494506836,24.90971946716309,41.91310501098633,36.586307525634766,0.4154565930366516,36.85482025146485
2014-08-12,28.50267601013184,21.25633430480957,15.965999603271484,104.75457000732422,36.81704711914063,25.252729415893555,42.24294662475586,36.831729888916016,0.449721097946167,36.91412734985352
2014-08-15,29.080081939697266,21.701526641845703,16.681499481201172,107.0936508178711,37.02984619140625,26.04543685913086,42.54282379150391,37.906551361083984,0.4530523419380188,37.23299789428711
2014-08-20,29.6629695892334,22.27517890930176,16.788999557495117,110.73705291748048,37.850711822509766,26.296987533569336,43.209999084472656,38.27958297729492,0.4600754678249359,37.70758438110352
2014-08-25,29.42184257507324,22.49003028869629,16.701000213623047,111.58919525146484,39.24160385131836,26.533273696899418,44.48440933227539,38.4669189453125,0.456729382276535,38.15251922607422
2014-08-28,28.91119384765625,22.647289276123047,17.000999450683594,110.5283660888672,39.059200286865234,26.41131591796875,44.34946823120117,38.21996307373047,0.4634214341640472,37.930057525634766
2014-09-03,29.36953353881836,21.914155960083008,16.950000762939453,109.51100158691406,39.69763946533203,26.35033798217773,44.75429534912109,38.2880973815918,0.4703524708747864,38.22666549682617
2014-09-08,29.97284507751465,21.785688400268555,17.117000579833984,111.2848663330078,39.56082534790039,26.92963409423828,44.89672470092773,39.574012756347656,0.4729814529418945,38.16735458374024
