,date,CASH,GOOGL,AAPL,AMZN,BA,C,INTC,JPM,MSFT,NVDA,WFC
75,2015-09-21,0.0,0.0,0.31635994,0.31635994,0.050920215,0.0,0.0,0.0,0.0,0.31635994,0.0
76,2015-09-24,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
77,2015-09-29,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
78,2015-10-02,0.0,0.0,0.3011808,0.32188007,0.055059038,0.0,0.0,0.0,0.0,0.32188007,0.0
79,2015-10-07,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
80,2015-10-12,0.0,0.0,0.31503874,0.31503874,0.0,0.05488373,0.0,0.0,0.0,0.31503874,0.0
81,2015-10-15,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
82,2015-10-20,0.0,0.0,0.3070205,0.3070205,0.0012069984,0.07773158,0.0,0.0,0.0,0.3070205,0.0
83,2015-10-23,0.0,0.0,0.3186208,0.3186208,0.04413755,0.0,0.0,0.0,0.0,0.3186208,0.0
84,2015-10-28,0.0,0.0,0.32839912,0.32839912,0.0,0.014802649,0.0,0.0,0.0,0.32839912,0.0
85,2015-11-02,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
86,2015-11-05,0.0,0.0,0.3170901,0.3170901,0.048729714,0.0,0.0,0.0,0.0,0.3170901,0.0
87,2015-11-10,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
88,2015-11-13,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
89,2015-11-18,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
90,2015-11-23,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
91,2015-11-27,0.0,0.0,0.30369404,0.30369404,0.08891784,0.0,0.0,0.0,0.0,0.30369404,0.0
92,2015-12-02,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
93,2015-12-07,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
