,WMAMR
2014-07-17,1.1958956455146028
2014-07-22,1.211645907716265
2014-07-25,1.2175446884173455
2014-07-30,1.2313041928980004
2014-08-04,1.2020203247854022
2014-08-07,1.1875790531305275
2014-08-12,1.2175878254905628
2014-08-15,1.2721527736400458
2014-08-20,1.2857424696570166
2014-08-25,1.3236634003231529
2014-08-28,1.317045083321537
2014-09-03,1.317045083321537
2014-09-08,1.317045083321537
2014-09-11,1.317045083321537
2014-09-16,1.2994620143396811
2014-09-19,1.3135762184725595
2014-09-24,1.3012460456283392
2014-09-29,1.2672289592056816
2014-10-02,1.244649172092467
2014-10-07,1.2268582223445552
2014-10-10,1.1529596513179734
2014-10-15,1.193330302856124
2014-10-20,1.1957246141857856
2014-10-23,1.2383296287507417
2014-10-28,1.2446816723834344
2014-10-31,1.2800192167686857
2014-11-05,1.2425565033151778
2014-11-10,1.278552560644636
2014-11-13,1.326198183644321
2014-11-18,1.3195671927260995
2014-11-21,1.316313633792019
2014-11-26,1.3207504310127098
2014-12-02,1.2987110147063345
2014-12-05,1.273368003132743
2014-12-10,1.2732716232680237
2014-12-15,1.2678628299185302
2014-12-18,1.2333152713952422
2014-12-23,1.2687741302551925
2014-12-29,1.2925929326907943
2015-01-02,1.2744471423400745
2015-01-07,1.2496571128435892
2015-01-12,1.224115394197426
2015-01-15,1.1475781653507375
2015-01-21,1.1599696482159603
2015-01-26,1.1879120878813918
2015-01-29,1.157299586096474
2015-02-03,1.164797025068881
2015-02-06,1.184423943825172
2015-02-11,1.184148147328989
2015-02-17,1.2261821881248873
2015-02-20,1.233015958992576
2015-02-25,1.2268422021490242
2015-03-02,1.2268390161602138
2015-03-05,1.2268390161602138
2015-03-10,1.2268390161602138
2015-03-13,1.1909045804421008
2015-03-18,1.1893642971965357
2015-03-23,1.2013005182086594
2015-03-26,1.1581769590875939
2015-03-31,1.203995705014421
2015-04-06,1.2405448270475812
2015-04-09,1.289776897805985
2015-04-14,1.283328013316955
2015-04-17,1.260173558830182
2015-04-22,1.299061757493547
2015-04-27,1.3391326071640992
2015-04-30,1.2920274100240505
2015-05-05,1.288151700228458
2015-05-08,1.3195389559251312
2015-05-13,1.3205430549921655
2015-05-18,1.3407137285677502
2015-05-21,1.3228559023425974
2015-05-27,1.3830144154545032
2015-06-01,1.4172103126272122
2015-06-04,1.40952193242679
2015-06-09,1.3986407704346577
2015-06-12,1.3947805794332917
2015-06-17,1.422836369822192
2015-06-22,1.4366419066251848
2015-06-25,1.424617747011764
2015-06-30,1.3461631430771632
2015-07-06,1.3501791862807262
2015-07-09,1.299304992427738
2015-07-14,1.3314362227302863
2015-07-17,1.3434858358876263
2015-07-22,1.298449865615954
2015-07-27,1.2846628497868657
2015-07-30,1.3093096855139301
2015-08-04,1.3191776316943902
2015-08-07,1.328725204075244
2015-08-12,1.3255043772735253
2015-08-17,1.3475883633951022
2015-08-20,1.2957138961824195
2015-08-25,1.1932299978939132
2015-08-28,1.2744652555894784
2015-09-02,1.236038613361746
2015-09-08,1.2336503980651683
2015-09-11,1.2205137785646856
2015-09-16,1.2561017270613137
2015-09-21,1.2498212184260071
2015-09-24,1.2046308361993934
2015-09-29,1.2014431722970687
2015-10-02,1.2231786932940858
2015-10-07,1.22271859432653
2015-10-12,1.231562001642126
2015-10-15,1.2344310993777698
2015-10-20,1.2555089281818266
2015-10-23,1.2492313835409175
2015-10-28,1.2492313835409175
2015-11-02,1.2492313835409175
2015-11-05,1.2492313835409175
2015-11-10,1.2492313835409175
2015-11-13,1.2492313835409175
2015-11-18,1.2838355095336988
2015-11-23,1.3349406754570834
2015-11-27,1.3289461113008332
2015-12-02,1.3116870474277948
2015-12-07,1.3114278297462612
2015-12-10,1.3048706905975298
2015-12-15,1.295124734874202
2015-12-18,1.2363705041465531
2015-12-23,1.2664546462972341
2015-12-29,1.267970822179564
2016-01-04,1.228441424321547
2016-01-07,1.1246622670741449
2016-01-12,1.1655908564858934
2016-01-15,1.0501160087101697
2016-01-21,0.9927514538473471
2016-01-26,1.0014053071900801
2016-01-29,1.054135227835104
2016-02-03,0.9991757960641258
2016-02-08,0.9334530525263381
2016-02-11,0.9593729756566073
2016-02-17,1.042242292127964
2016-02-22,1.0898235649855792
2016-02-25,1.0595558409665378
2016-03-01,1.1322595613621291
2016-03-04,1.127464366437222
2016-03-09,1.1269943893219991
2016-03-14,1.1456698711235982
2016-03-17,1.142375035916901
2016-03-22,1.142375035916901
2016-03-28,1.1761840043015463
2016-03-31,1.1620910574595023
2016-04-05,1.1416660236203233
2016-04-08,1.131092742470318
2016-04-13,1.185387102434688
2016-04-18,1.182776349814922
2016-04-21,1.1888209633192746
2016-04-26,1.1647031078772425
2016-04-29,1.0608030593068807
2016-05-04,1.0648324511348144
2016-05-09,1.0553920659370426
2016-05-12,1.0275258332610167
2016-05-17,1.0633537383640705
2016-05-20,1.0830307897567455
2016-05-25,1.0945129497270054
2016-05-31,1.0708196046847116
2016-06-03,1.0812603811856365
2016-06-08,1.1289655050295149
2016-06-13,1.122834043345579
2016-06-16,1.0901645308108616
2016-06-21,1.1108700819845378
2016-06-24,1.04305796773778
2016-06-29,1.0901645308108614
2016-07-05,1.0554818023335688
2016-07-08,1.0865406459059639
2016-07-13,1.0900778937864244
2016-07-18,1.1124429206602302
2016-07-21,1.106880706056929
2016-07-26,1.106880706056929
2016-07-29,1.106880706056929
2016-08-03,1.106880706056929
2016-08-08,1.126877315271165
2016-08-11,1.1375434521475787
2016-08-16,1.1454200973374167
2016-08-19,1.1419914085856486
2016-08-24,1.1403769744475194
2016-08-29,1.137865058957997
2016-09-01,1.1312731420886293
2016-09-07,1.1504062411157798
2016-09-12,1.1271377177903368
2016-09-15,1.2292198481994712
2016-09-20,1.2339940402828282
2016-09-23,1.2122616989402124
2016-09-28,1.2008651097932665
2016-10-03,1.1616402963367858
2016-10-06,1.1974199020067637
2016-10-11,1.2045758489079916
2016-10-14,1.1849631200893482
2016-10-19,1.199540029875381
2016-10-24,1.1850974351117043
2016-10-27,1.1699727879563928
2016-11-01,1.1602257087292485
2016-11-04,1.1381934882227047
2016-11-09,1.1767992642159588
2016-11-14,1.0945953178505747
2016-11-17,1.1505079892452834
2016-11-22,1.1945113874677988
2016-11-28,1.173868440504723
2016-12-01,1.1464251887578774
2016-12-06,1.1666702517353105
2016-12-09,1.160836900476634
2016-12-14,1.160836900476634
2016-12-19,1.150774734210855
2016-12-22,1.1512855852310253
2016-12-28,1.1455291573048703
2017-01-03,1.146933521313427
2017-01-06,1.1604109416341148
2017-01-11,1.1695592558786516
2017-01-17,1.1443349579749034
2017-01-20,1.1714350317335644
2017-01-25,1.1985637843043027
2017-01-30,1.1761260187451128
2017-02-02,1.1663671681239594
2017-02-07,1.1915776094762598
2017-02-10,1.2007451550555026
2017-02-15,1.2188654457325816
2017-02-21,1.23475598521562
2017-02-24,1.2350942636965347
2017-03-01,1.2451092545432942
2017-03-06,1.1830900722619977
2017-03-09,1.1936281134067706
2017-03-14,1.2328748229529043
2017-03-17,1.2848402456247032
2017-03-22,1.2820586801802605
2017-03-27,1.2770381926987306
2017-03-30,1.296635763876146
2017-04-04,1.2726580916567682
2017-04-07,1.2643580347812342
2017-04-12,1.2247025264189686
2017-04-18,1.2434988145825898
2017-04-21,1.273430413228302
2017-04-26,1.302736858078174
2017-05-01,1.294312059927119
2017-05-04,1.320625271725839
2017-05-09,1.3140221453672098
2017-05-12,1.3140221453672098
2017-05-17,1.3066082228455551
2017-05-22,1.3206682800194354
2017-05-25,1.3297519568993674
2017-05-31,1.2811227421071838
2017-06-05,1.2931279845630497
2017-06-08,1.322974635113335
2017-06-13,1.346996210331738
2017-06-16,1.3005655873904642
2017-06-21,1.3334747685231174
2017-06-26,1.333017850231288
2017-06-29,1.3070584625768844
2017-07-05,1.3337467331967516
2017-07-10,1.3888150328117155
2017-07-13,1.4082880819669819
2017-07-18,1.420215612446403
2017-07-21,1.413114534384171
2017-07-26,1.425352978794205
2017-07-31,1.401702458579927
2017-08-03,1.3970719756833314
2017-08-08,1.37901954543737
2017-08-11,1.3551890782580205
2017-08-16,1.398053377118456
2017-08-21,1.3554893650240982
2017-08-24,1.3542949686974413
2017-08-29,1.3483037627450305
2017-09-01,1.3622795724838552
2017-09-07,1.3797500222992025
2017-09-12,1.425341422279759
2017-09-15,1.4278292429092847
2017-09-20,1.4855947756394234
2017-09-25,1.4256231199048124
2017-09-28,1.4514746927220628
2017-10-03,1.4628376230372997
2017-10-06,1.47060276775914
2017-10-11,1.4824394684769033
2017-10-16,1.4750272711345187
2017-10-19,1.473068022814257
