,UCRP
2015-06-30,1.3894219039489342
2015-07-06,1.3934212716153096
2015-07-09,1.3700300525287141
2015-07-14,1.4270078498114722
2015-07-17,1.4770554608071913
2015-07-22,1.4669382430126285
2015-07-27,1.4485886437542927
2015-07-30,1.4720068937469337
2015-08-04,1.4638330234672279
2015-08-07,1.4775221230970428
2015-08-12,1.4855246816006922
2015-08-17,1.4968247771604335
2015-08-20,1.4409803961054866
2015-08-25,1.3090803460536007
2015-08-28,1.4210291221209388
2015-09-02,1.3959252334595809
2015-09-08,1.4135793800252796
2015-09-11,1.417267248771636
2015-09-16,1.4418896218905948
2015-09-21,1.4272844124394384
2015-09-24,1.3993866017048198
2015-09-29,1.3778001700918872
2015-10-02,1.4269886037154114
2015-10-07,1.466733761331633
2015-10-12,1.4762127152166937
2015-10-15,1.495254161965419
2015-10-20,1.5058343082831829
2015-10-23,1.5776259630889735
2015-10-28,1.5998333628566148
2015-11-02,1.599271765589123
2015-11-05,1.6125939454981228
2015-11-10,1.6271400435310814
2015-11-13,1.580376606123845
2015-11-18,1.6326299648421274
2015-11-23,1.6439861030602148
2015-11-27,1.6415832241287218
2015-12-02,1.6504492841739942
2015-12-07,1.6606782854989453
2015-12-10,1.6354364974773383
2015-12-15,1.6308552468313589
2015-12-18,1.592235466452983
2015-12-23,1.6322365733612643
2015-12-29,1.6588849505990757
2016-01-04,1.5863394754836513
2016-01-07,1.498515156391787
2016-01-12,1.5086878306181144
2016-01-15,1.4179527375946361
2016-01-21,1.4057309504010729
2016-01-26,1.4412942109203086
2016-01-29,1.466363747812738
2016-02-03,1.4112259971228924
2016-02-08,1.348058290439575
2016-02-11,1.3156874950345927
2016-02-17,1.4112167868385923
2016-02-22,1.438220046844346
2016-02-25,1.4263249659843182
2016-03-01,1.4718358073717033
2016-03-04,1.4841213444085486
2016-03-09,1.4662229372043203
2016-03-14,1.495909384357092
2016-03-17,1.512296160684884
2016-03-22,1.5316386722856983
2016-03-28,1.5175702732771357
2016-03-31,1.531785160605258
2016-04-05,1.522024379575227
2016-04-08,1.514900156376323
2016-04-13,1.5717314010663679
2016-04-18,1.5801728119785645
2016-04-21,1.5836081342184076
2016-04-26,1.5599500938924584
