Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
35	0.51172197	0.23147207	0.9014333	0.16820194	500.0	0.06066421	0.0872593	0.40924692	-0.12015979	180000	2.2476911e-08	0.008301347	0.006182074	-0.0016363556	0.8548451	0.016924812	0.1834	1.0	198.93214559555054
36	0.6438024	0.16488707	0.92170393	0.3974352	500.0	0.026763324	0.08149756	0.34273934	-0.16714017	185000	1.0387599e-08	0.0062734466	0.005160433	-0.0005080728	0.8547228	0.022472419	0.2474	1.0	203.61435508728027
37	0.605597	0.20532995	0.9804472	0.36890712	500.0	0.043797497	0.08986761	0.4025919	-0.17136872	190000	-3.118515e-08	0.005662445	0.009434807	-0.00016253954	0.8546036	0.020386783	0.2512	1.0	208.2329330444336
38	0.6091374	0.24787697	0.91504776	0.12394608	500.0	0.041426767	0.09165291	0.40603215	-0.1759594	195000	4.7296287e-09	0.0074226866	0.012607796	-0.0008107503	0.8544843	0.026420215	0.2614	1.0	212.84815001487732
39	0.5882618	0.2117149	0.9323962	0.1283801	500.0	0.047037978	0.079684675	0.35321	-0.16491875	200000	5.453825e-09	0.0069829673	0.016075667	-0.0004835236	0.85436517	0.02768212	0.3384	1.0	217.46373867988586
40	0.60756963	0.24364676	1.0835857	0.16809131	500.0	0.044557005	0.0877899	0.37144217	-0.17339551	205000	-4.7695636e-08	0.0070702783	0.013380567	-0.00081396336	0.8542458	0.021433624	0.2976	1.0	222.25869798660278
41	0.6743542	0.22460411	0.9863419	0.3669256	500.0	0.04449464	0.094563924	0.37034816	-0.19159198	210000	-6.9241224e-08	0.0061278064	0.015265056	-0.00056317635	0.85410935	0.037622627	0.3746	1.0	226.90064907073975
42	0.6393963	0.13080414	0.91031545	0.39758736	500.0	0.0588114	0.09290916	0.38759556	-0.19075549	215000	-3.403425e-08	0.004974356	0.016854754	-0.00035784533	0.85398763	0.031539723	0.33	1.0	231.52321982383728
43	0.51996017	0.2812715	0.9617226	-0.017828258	500.0	0.045768164	0.09234677	0.39542082	-0.19942352	220000	3.056526e-08	0.0058849193	0.0034268661	-0.0005041212	0.8538724	0.023749769	0.2582	3.0	236.19400119781494
44	0.67472917	0.10513502	0.91103995	0.47444382	500.0	0.029334392	0.09530288	0.37230346	-0.21919072	225000	-7.242784e-08	0.0045945593	-0.0060391375	-0.00080307643	0.8534469	0.01626435	0.2226	7.0	240.96677899360657
45	0.78999305	0.11856062	0.94137067	0.52674073	500.0	0.050819773	0.0933392	0.40577596	-0.19190048	230000	8.717179e-10	0.0047992636	-0.023729442	-0.0008304762	0.85271364	0.015276395	0.182	50.0	246.61315298080444
46	0.69877374	0.23184682	1.1507574	0.22021669	500.0	0.07470303	0.09132396	0.43321073	-0.14472371	235000	4.53949e-08	0.0052661407	-0.015751403	-0.0005536424	0.8485532	0.015221606	0.153	17.0	252.155659198761
47	0.8292631	0.15095975	0.96447945	0.45748118	500.0	0.054340895	0.08851985	0.42553455	-0.15676774	240000	-7.1138144e-09	0.0050739073	-0.018756272	-0.00073467335	0.84627205	0.015767008	0.1664	29.0	257.74292826652527
48	0.6919447	0.1582197	0.9864951	0.41977865	500.0	0.072976045	0.09298775	0.46579796	-0.124673754	245000	1.9332766e-08	0.004866615	-0.0033657847	-0.00052295346	0.8444118	0.015960095	0.2046	5.0	262.51897501945496
49	0.8108021	0.19773543	1.1764358	0.51053935	500.0	0.058812764	0.09152995	0.40092522	-0.17182189	250000	4.388392e-08	0.005362518	-0.0011537239	-0.0006683888	0.8443545	0.01741336	0.215	3.0	267.220139503479
50	0.7279786	0.21938235	1.0959858	0.42163947	500.0	0.06824721	0.09617929	0.4751178	-0.13973302	255000	-6.979406e-08	0.005338193	-0.018232444	-0.00032594334	0.84424525	0.015269138	0.1668	39.0	272.6780767440796
