Date,SPY,TLT,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2018-07-03,243.9551239013672,103.09701538085938,50.45131301879883,55.6684455871582,23.270038604736328,63.82929229736328,64.8255844116211,43.08698654174805,42.64045333862305,75.12152862548828,102.23770141601562
2018-07-05,245.94525146484375,103.39276885986328,50.888797760009766,55.609291076660156,23.32276725769043,64.1414566040039,65.7428207397461,43.68274688720703,42.867958068847656,75.90028381347656,102.74466705322266
2018-07-06,248.02557373046875,103.73079681396484,51.14254379272461,55.94942092895508,23.4370059967041,64.3644790649414,66.51032257080078,43.81699752807617,43.20108413696289,76.99239349365234,103.55205535888672
2018-07-09,250.25885009765625,103.06317901611328,51.59752655029297,56.784934997558594,23.973060607910156,65.55970001220703,67.01573944091797,43.64918518066406,41.86857604980469,77.55634307861328,104.79129028320312
2018-07-10,251.159423828125,103.0548095703125,52.0350227355957,57.20637893676758,23.885189056396484,65.76487731933594,67.17486572265625,44.169403076171875,42.266700744628906,77.85176849365234,105.01661682128906
2018-07-11,249.32225036621094,103.45196533203125,51.16004180908203,55.99378204345703,23.77094078063965,64.68558502197266,66.91279602050781,44.02677536010742,42.648590087890625,77.23407745361328,104.77251434326172
2018-07-12,251.58262634277344,103.44347381591797,51.28254318237305,56.089908599853516,23.81488037109375,65.44376373291016,67.97045135498047,43.9680290222168,42.68108367919922,78.09345245361328,105.46726989746094
2018-07-13,251.78073120117188,103.70542907714844,51.256290435791016,56.385650634765625,23.709428787231445,65.78271484375,67.89556121826172,44.25332260131836,42.689208984375,78.23664855957031,105.70196533203125
2018-07-16,251.5556640625,103.27446746826172,50.84505844116211,55.734981536865234,24.131242752075195,65.5151138305664,67.73645782470703,44.043556213378906,42.648590087890625,77.76220703125,105.96482849121094
2018-07-17,252.57318115234375,103.08012390136719,51.5100212097168,55.51317596435547,24.157602310180664,65.7737808227539,68.24185943603516,44.421146392822266,42.61608123779297,78.19187927246094,106.06809997558594
