Date,SPY
2014-06-03,159.57847595214844
2014-06-04,159.90127563476562
2014-06-05,160.94415283203125
2014-06-06,161.7139129638672
2014-06-09,161.87940979003906
2014-06-10,161.89596557617188
2014-06-11,161.3330535888672
2014-06-12,160.19093322753906
2014-06-13,160.6792449951172
2014-06-16,160.81170654296875
2014-06-17,161.25863647460938
2014-06-18,162.44227600097656
2014-06-19,162.62432861328125
2014-06-20,162.95449829101562
2014-06-23,162.9046630859375
2014-06-24,161.9232635498047
2014-06-25,162.65512084960938
2014-06-26,162.5386962890625
2014-06-27,162.85470581054688
2014-06-30,162.77151489257812
2014-07-01,163.86097717285156
2014-07-02,164.02734375
2014-07-03,164.83401489257812
2014-07-07,164.26019287109375
2014-07-08,163.20399475097656
2014-07-09,163.93589782714844
2014-07-10,163.28717041015625
