,OLMAR
2017-07-28,1.7049317123984653
2017-08-02,1.7190045962046585
2017-08-07,1.7046607146570372
2017-08-10,1.6517385235318778
2017-08-15,1.6963063961623936
2017-08-18,1.646141906884955
2017-08-23,1.682969822903748
2017-08-28,1.6824842574614651
2017-08-31,1.6943636160066
2017-09-06,1.6548826545214352
2017-09-11,1.6723571271384448
2017-09-14,1.6858631943034459
2017-09-19,1.6906562094502522
2017-09-22,1.6178023792187917
2017-09-27,1.6345124276922753
2017-10-02,1.6405701469607439
2017-10-05,1.6491356489210638
2017-10-10,1.6491356489210638
2017-10-13,1.6408899706764584
2017-10-18,1.6555535332489641
2017-10-23,1.6935388932437154
2017-10-26,1.7042823408434091
2017-10-31,1.9371154588889723
