,WMAMR
2017-07-25,1.2524238798004417
2017-07-28,1.2288842371229767
2017-08-02,1.2452539896249954
2017-08-07,1.2201724098264888
2017-08-10,1.2004380834989468
2017-08-15,1.232828786291179
2017-08-18,1.2023825292513854
2017-08-23,1.1957839585044008
2017-08-28,1.1954389544771247
2017-08-31,1.2099291236223222
2017-09-06,1.227565729496167
2017-09-11,1.2467618255067325
2017-09-14,1.2622663645921797
2017-09-19,1.3066438009078942
2017-09-22,1.2503378499332203
2017-09-27,1.2696004121087667
2017-10-02,1.2661430291541815
2017-10-05,1.2791493745547642
2017-10-10,1.2833476252853322
2017-10-13,1.2858587554527043
2017-10-18,1.2791528427775913
2017-10-23,1.3150773749656868
2017-10-26,1.3254212452670584
2017-10-31,1.3202122445741775
