,SPY
2017-06-28,0.001479594173210051
2017-07-03,-0.0052707470902327675
2017-07-07,-0.0004129748923410492
2017-07-12,0.007817035593505987
2017-07-17,0.006209931299179449
2017-07-20,0.00637397363414326
2017-07-25,0.0012941844391760665
2017-07-28,-0.0020633996776006193
2017-08-02,0.002144230620212024
2017-08-07,0.0017362868018559084
2017-08-10,-0.01672028049899059
2017-08-15,0.011218425932922105
2017-08-18,-0.015535245596733497
2017-08-23,0.007593362566540779
2017-08-28,4.088892767676444e-05
2017-08-31,0.011868610641030066
2017-09-06,-0.0023867808000135856
2017-09-11,0.009312518169524423
2017-09-14,0.0035249385582732428
2017-09-19,0.0044621732760216
2017-09-22,-0.0021225053537354517
2017-09-27,0.002442492553343523
2017-10-02,0.00903722535338029
2017-10-05,0.009231198926749265
